序號,餐廳編號,餐廳名稱,餐點編號,菜牌編號,餐點名稱,英文名稱,據點,建檔日期
926,DBHZ,蛋白盒子,79SIXZMA,DBHZ-79SIXZMA,炭火燒肉雞胸餐盒,Charcoal Grilled Pork & Chicken Breast Meal Box,聯發太陽廣場,2025/5/22 16:25
927,DBHZ,蛋白盒子,90NLAXLO,DBHZ-90NLAXLO,私房滷牛腱餐盒,House Special Braised Beef Shank Meal Box,聯發太陽廣場,2025/5/22 16:25
732,DWJKC,大王健康餐盒,33GZCMRP,DWJKC-33GZCMRP,鹽烤鯖魚,Salt-Grilled Mackerel,聯發太陽廣場,2025/5/22 16:25
733,DWJKC,大王健康餐盒,42UQMJEW,DWJKC-42UQMJEW,蔬食餐盒,Vegetarian Meal Box,聯發太陽廣場,2025/5/22 16:25
875,DWJKC,大王健康餐盒,27QGINCY,DWJKC-27QGINCY,泡菜雞胸,Kimchi Chicken Breast,聯發太陽廣場,2025/5/22 16:25
876,DWJKC,大王健康餐盒,06FGWJLY,DWJKC-06FGWJLY,蒜泥雞胸,Garlic Chicken Breast,聯發太陽廣場,2025/5/22 16:25
734,HMSRJ,黑米燒肉丼,71LFVIIA,HMSRJ-71LFVIIA,素食便當,Vegetarian Bento,聯發太陽廣場,2025/5/22 16:25
816,QBJKC,喬比健康廚房,06WPLPXI,QBJKC-06WPLPXI,海鹽牛五花飯,Sea Salt Beef Belly Rice,聯發太陽廣場,2025/5/22 16:25
817,QBJKC,喬比健康廚房,94LBJWPP,QBJKC-94LBJWPP,蔬食餐盒(全素),Vegetarian Meal Box (Vegan),聯發太陽廣場,2025/5/22 16:25
783,QJTJR,奇雞土雞肉飯,06KDRESV,QJTJR-06KDRESV,招牌冠軍土雞肉餐盒,Signature Champion Free-Range Chicken Meal Box,聯發太陽廣場,2025/5/22 16:25
784,QJTJR,奇雞土雞肉飯,04EOZVEV,QJTJR-04EOZVEV,鮮脆小卷餐,Fresh Crispy Squid Meal,聯發太陽廣場,2025/5/22 16:25
785,QJTJR,奇雞土雞肉飯,11AUFNPW,QJTJR-11AUFNPW,輕量版土雞肉蛋餐,Light Version Free-Range Chicken & Egg Meal,聯發太陽廣場,2025/5/22 16:25
786,QJTJR,奇雞土雞肉飯,24ATRRNF,QJTJR-24ATRRNF,義式舒肥嫰雞餐,Italian Sous Vide Chicken Meal,聯發太陽廣場,2025/5/22 16:25
787,QJTJR,奇雞土雞肉飯,22AKGBFW,QJTJR-22AKGBFW,火山黑胡椒嫩雞餐盒,Volcanic Black Pepper Tender Chicken Meal Box,聯發太陽廣場,2025/5/22 16:25
788,QJTJR,奇雞土雞肉飯,09FUCUEV,QJTJR-09FUCUEV,土雞丸子雞湯,Free-Range Chicken Meatball Soup,聯發太陽廣場,2025/5/22 16:25
932,QJTJR,奇雞土雞肉飯,09COKAQF,QJTJR-09COKAQF,烏骨土雞肉餐,Black-Bone Free-Range Chicken Meal,聯發太陽廣場,2025/5/22 16:25
933,QJTJR,奇雞土雞肉飯,79MPELNP,QJTJR-79MPELNP,蔥燒骨仔肉餐,Scallion Braised Pork Collar Meal,聯發太陽廣場,2025/5/22 16:25
934,QJTJR,奇雞土雞肉飯,11WCEOEV,QJTJR-11WCEOEV,脆滑蝦仁餐,Crispy Shrimp Meal,聯發太陽廣場,2025/5/22 16:25
780,TTKRF,天天烤肉飯,34HMZICH,TTKRF-34HMZICH,壽喜牛五花,Sukiyaki Beef Belly,聯發太陽廣場,2025/5/22 16:25
781,TTKRF,天天烤肉飯,88MVTLLE,TTKRF-88MVTLLE,蜜烤雞腿排,Honey Glazed Chicken Leg,聯發太陽廣場,2025/5/22 16:25
782,TTKRF,天天烤肉飯,92GHUDZM,TTKRF-92GHUDZM,香滷腿排飯,Braised Chicken Leg Rice,聯發太陽廣場,2025/5/22 16:25
928,TTKRF,天天烤肉飯,08KGDJUT,TTKRF-08KGDJUT,泡菜烤肉飯,Kimchi Grilled Pork Rice,聯發太陽廣場,2025/5/22 16:25
735,YSSWM,御燒沙威瑪,87TVVQSU,YSSWM-87TVVQSU,招牌沙威瑪,Signature Shawarma,聯發太陽廣場,2025/5/22 16:25
736,YSSWM,御燒沙威瑪,65UHXERS,YSSWM-65UHXERS,黃芥末沙威瑪,Yellow Mustard Shawarma,聯發太陽廣場,2025/5/22 16:25
737,YSSWM,御燒沙威瑪,24XCOLCC,YSSWM-24XCOLCC,泰式酸辣醬沙威瑪,Thai Spicy Sauce Shawarma,聯發太陽廣場,2025/5/22 16:25
