序號,餐廳編號,餐廳名稱,餐點編號,菜牌編號,餐點名稱,英文名稱,據點,建檔日期
874,SJBD,食吉便當,60XZIVDT,SJBD-60XZIVDT,義式香料雞胸,Italian Herb Chicken Breast,聯發科瑞光,2025-05-22 16:25:09
875,SJBD,食吉便當,53ETDDOE,SJBD-53ETDDOE,蔬食健康餐,Vegetarian Healthy Meal,聯發科瑞光,2025-05-22 16:25:09
876,WWTYF,味屋饕一番,21PKHFDQ,WWTYF-21PKHFDQ,黑松露燴雙菇餐盒(蛋奶素),Black Truffle Braised Mushroom Meal Box (Ovo-Lacto Vegetarian),聯發科瑞光,2025-05-22 16:25:09
877,MSHB,摩斯漢堡,11OYODVR,MSHB-11OYODVR,和風蔬活牛肉堡紅茶,Japanese Style Veggie Beef Burger with Black Tea,聯發科瑞光,2025-05-22 16:25:09
878,CY,初越,41GEGEMS,CY-41GEGEMS,海陸酸辣河粉,Seafood & Pork Hot & Sour Rice Noodles,聯發科瑞光,2025-05-22 16:25:09
879,CY,初越,35HANMET,CY-35HANMET,香茅烤豬排米線,Lemongrass Grilled Pork Chop Rice Noodles,聯發科瑞光,2025-05-22 16:25:09
880,LSH,梁社漢,39MKQRMQ,LSH-39MKQRMQ,椒鹽雞菲力排飯,Pepper Salt Chicken Fillet Rice,聯發科瑞光,2025-05-22 16:25:09
881,BFYJ,八方雲集,74DMNGPM,BFYJ-74DMNGPM,清燉牛肉麵,Clear Stewed Beef Noodles,聯發科瑞光,2025-05-22 16:25:09
882,BFYJ,八方雲集,55BYRFLH,BFYJ-55BYRFLH,酸辣湯麵,Hot & Sour Soup Noodles,聯發科瑞光,2025-05-22 16:25:09
883,BFYJ,八方雲集,45PFLOFF,BFYJ-45PFLOFF,珍珠餛飩麵,Pearl Wonton Noodles,聯發科瑞光,2025-05-22 16:25:09
884,QZBD,喬治便當,76MKTTBW,QZBD-76MKTTBW,紅燒巴沙魚,Braised Basa Fish,聯發科瑞光,2025-05-22 16:25:09
885,QZBD,喬治便當,43DLRZSB,QZBD-43DLRZSB,黑胡椒牛五花,Black Pepper Beef Belly,聯發科瑞光,2025-05-22 16:25:09
886,QZBD,喬治便當,92WAJIFX,QZBD-92WAJIFX,麻油豬肉片,Sesame Oil Pork Slices,聯發科瑞光,2025-05-22 16:25:09
887,QZBD,喬治便當,15ZMNXXQ,QZBD-15ZMNXXQ,三杯雞塊,Three-Cup Chicken Bites,聯發科瑞光,2025-05-22 16:25:09
888,QZBD,喬治便當,99EIAZPM,QZBD-99EIAZPM,椒鹽雞腿肉,Pepper Salt Chicken Leg Meat,聯發科瑞光,2025-05-22 16:25:09
889,KST,咖食堂,56PDDFIF,KST-56PDDFIF,魚排烏龍麵,Fish Cutlet Udon,聯發科瑞光,2025-05-22 16:25:09
890,HBW,漢堡王,13NDIXEB,HBW-13NDIXEB,小華堡辣中薯球中可,Junior Whopper with Medium Spicy Potato Balls and Medium Coke,聯發科瑞光,2025-05-22 16:25:09
891,HBW,漢堡王,15OAMILS,HBW-15OAMILS,花生培根牛肉堡辣中薯球中可,Peanut Bacon Beef Burger with Medium Spicy Potato Balls and Medium Coke,聯發科瑞光,2025-05-22 16:25:09
892,HBW,漢堡王,52VSSOVH,HBW-52VSSOVH,雙層田園華鱈魚堡辣中薯球中可,Double Garden Fish Fillet Burger with Medium Spicy Potato Balls and Medium Coke,聯發科瑞光,2025-05-22 16:25:09
893,HBW,漢堡王,86NDDBBR,HBW-86NDDBBR,Q彈海老堡辣中薯球中可,Chewy Shrimp Burger with Medium Spicy Potato Balls and Medium Coke,聯發科瑞光,2025-05-22 16:25:09
894,HXZ,鬍鬚張,63QOTTTY,HXZ-63QOTTTY,胭脂梅花肉便當,Rosy Pork Shoulder Bento,聯發科瑞光,2025-05-22 16:25:09
895,KDJ,肯德基,30PQERNC,KDJ-30PQERNC,義式香草紙包雞經典可樂,Italian Herb Paper-Wrapped Chicken with Classic Coke,聯發科瑞光,2025-05-22 16:25:09
911,MMNN,貓咪奶奶,95TKGPKC,MMNN-95TKGPKC,紹興微醉冷雞腿餐盒,Shaoxing Wine Marinated Chilled Chicken Leg Meal Box,聯發科瑞光,2025-05-22 16:25:09
912,MMNN,貓咪奶奶,31NXILUO,MMNN-31NXILUO,蔥鹽梅花豬餐盒,Scallion Salt Pork Shoulder Meal Box,聯發科瑞光,2025-05-22 16:25:09
913,FCSL,鳳城燒臘,08BZKTDJ,FCSL-08BZKTDJ,乾炒豬肉河粉,Stir-Fried Pork Rice Noodles,聯發科瑞光,2025-05-22 16:25:09
914,ZZ,抓粥,80GKCWBG,ZZ-80GKCWBG,香菇雞肉粥,Mushroom Chicken Congee,聯發科瑞光,2025-05-22 16:25:09
915,XDST,兄弟食堂,55OGLDUP,XDST-55OGLDUP,貢丸湯,Meatball Soup,聯發科瑞光,2025-05-22 16:25:09
920,WHM,五花馬,43AHACDG,WHM-43AHACDG,牛肉湯麵,Beef Soup Noodles,聯發科瑞光,2025-05-22 16:25:09
921,WSSW,午時食午,45HNCLOA,WSSW-45HNCLOA,厚切烤五花餐盒,Thick-Cut Grilled Pork Belly Meal Box,聯發科瑞光,2025-05-22 16:25:09
922,WSSW,午時食午,07YVDENN,WSSW-07YVDENN,藥香滷雞腿餐盒,Herbal Braised Chicken Leg Meal Box,聯發科瑞光,2025-05-22 16:25:09
923,WSSW,午時食午,04DGTMAT,WSSW-04DGTMAT,獨門烤肉飯餐盒,Signature Grilled Pork Rice Meal Box,聯發科瑞光,2025-05-22 16:25:09
