序號,餐廳編號,餐廳名稱,餐點編號,菜牌編號,餐點名稱,英文名稱,據點,建檔日期
1,SUBWA,SUBWAY,54SOXCFQ,SUBWA-54SOXCFQ,香烤雞肉6吋,Grilled Chicken (6-inch),聯發太陽廣場,2024-12-10 12:14:49
2,SUBWA,SUBWAY,06DFACKN,SUBWA-06DFACKN,照燒雞肉6吋,Teriyaki Chicken (6-inch),聯發太陽廣場,2024-12-10 12:14:49
3,SUBWA,SUBWAY,32VINGDZ,SUBWA-32VINGDZ,嫩切雞肉6吋,Tender Sliced Chicken (6-inch),聯發太陽廣場,2024-12-10 12:14:49
4,SUBWA,SUBWAY,55YALWCH,SUBWA-55YALWCH,厚切嫩牛6吋,Tender Roast Beef (6-inch),聯發太陽廣場,2024-12-10 12:14:49
5,SUBWA,SUBWAY,41BCXQBR,SUBWA-41BCXQBR,燒烤牛肉6吋,BBQ Beef (6-inch),聯發太陽廣場,2024-12-10 12:14:49
6,SUBWA,SUBWAY,58SYLMJS,SUBWA-58SYLMJS,義大利牛肉丸6吋,Italian Meatball 6-inch,聯發太陽廣場,2024-12-25 14:56:29
7,SUBWA,SUBWAY,71XPZQPO,SUBWA-71XPZQPO,火腿6吋,Ham (6-inch),聯發太陽廣場,2024-12-10 12:14:49
8,SUBWA,SUBWAY,43QDMSAQ,SUBWA-43QDMSAQ,墨西哥辣牛6吋,Mexican Spicy Beef (6-inch),聯發太陽廣場,2024-12-10 12:14:49
9,SUBWA,SUBWAY,11KGPLDF,SUBWA-11KGPLDF,鮮嫩雞柳6吋,Chicken Strips (6-inch),聯發太陽廣場,2024-12-10 12:14:49
10,SUBWA,SUBWAY,39QZFVUF,SUBWA-39QZFVUF,義大利經典6吋,Italian B.M.T. (6-inch),聯發太陽廣場,2024-12-10 12:14:49
11,SUBWA,SUBWAY,69YAPIAK,SUBWA-69YAPIAK,鮪魚6吋,Tuna (6-inch),聯發太陽廣場,2024-12-10 12:14:49
12,SUBWA,SUBWAY,47ZKEDGT,SUBWA-47ZKEDGT,嫩雞沙拉捲餅,Tender Chicken Salad Wrap,聯發太陽廣場,2024-12-10 12:14:49
13,SUBWA,SUBWAY,77CXQLDT,SUBWA-77CXQLDT,辣牛沙拉捲餅,Spicy Beef Salad Wrap,聯發太陽廣場,2024-12-10 12:14:49
14,SUBWA,SUBWAY,72AMJPAO,SUBWA-72AMJPAO,鮮嫩雞柳沙拉,Tender Chicken Strip Salad,聯發太陽廣場,2024-12-10 12:14:49
15,SUBWA,SUBWAY,97SSZBEE,SUBWA-97SSZBEE,百味俱樂部6吋,Subway Club (6-inch),聯發太陽廣場,2024-12-10 12:14:49
16,SUBWA,SUBWAY,29RQJHJA,SUBWA-29RQJHJA,素食蔬菜6吋,Veggie Delite (6-inch),聯發太陽廣場,2024-12-10 12:14:49
17,SUBWA,SUBWAY,03KYNBJQ,SUBWA-03KYNBJQ,素食蔬菜6吋(特),Veggie Delite 6-inch (Special),聯發太陽廣場,2024-12-25 14:56:29
18,NLXJ,能量小姐,43OPENGT,NLXJ-43OPENGT,水煮嫩雞胸-無飯,Poached Tender Chicken Breast (No Rice),聯發太陽廣場,2024-12-10 12:14:49
19,NLXJ,能量小姐,24PPKLAR,NLXJ-24PPKLAR,香滷雞腿,Braised Chicken Leg,聯發太陽廣場,2024-12-10 12:14:49
20,NLXJ,能量小姐,67YEQYDF,NLXJ-67YEQYDF,日式壽喜牛,Japanese Sukiyaki Beef,聯發太陽廣場,2024-12-10 12:14:49
21,NLXJ,能量小姐,91TUVUSF,NLXJ-91TUVUSF,蒜泥豬里肌,Garlic Pork Tenderloin,聯發太陽廣場,2024-12-10 12:14:49
22,NLXJ,能量小姐,85VRZANB,NLXJ-85VRZANB,日式蔥鹽雞,Japanese Green Onion Salt Chicken,聯發太陽廣場,2024-12-25 14:56:29
23,NLXJ,能量小姐,74OSKEZZ,NLXJ-74OSKEZZ,麻香口水雞,Sichuan Spicy Chicken (Mouth-Watering Chicken),聯發太陽廣場,2024-12-10 12:14:49
24,QHSL,齊亨燒臘,41YGRGKB,QHSL-41YGRGKB,蜜汁燒雞腿飯,Honey Glazed Chicken Leg Rice,聯發太陽廣場,2024-12-25 14:56:29
25,QHSL,齊亨燒臘,71MFRYUK,QHSL-71MFRYUK,油雞燒鴨飯,Oil-Braised Chicken and Roast Duck Rice,聯發太陽廣場,2024-12-10 12:14:49
26,QHSL,齊亨燒臘,84JEFIRM,QHSL-84JEFIRM,燒肉叉燒飯,Roasted Pork & BBQ Pork Rice,聯發太陽廣場,2024-12-10 12:14:49
27,QHSL,齊亨燒臘,98NWUTOO,QHSL-98NWUTOO,燒肉油雞飯,BBQ Pork with Oil Chicken Rice,聯發太陽廣場,2024-12-25 14:56:29
28,QHSL,齊亨燒臘,57WYYMNW,QHSL-57WYYMNW,獅子頭飯,Lion's Head Meatball Rice,聯發太陽廣場,2024-12-10 12:14:49
29,QHSL,齊亨燒臘,35EDLJDS,QHSL-35EDLJDS,叉燒燒鴨飯,BBQ Pork & Roast Duck Rice,聯發太陽廣場,2024-12-10 12:14:49
30,BFYJ,八方雲集,25RSJUXV,BFYJ-25RSJUXV,玉米水餃12顆,Corn Dumplings 12pcs,聯發太陽廣場,2024-12-25 14:56:29
31,BFYJ,八方雲集,57TGJQJI,BFYJ-57TGJQJI,招牌水餃12顆,Signature Dumplings 12pcs,聯發太陽廣場,2024-12-25 14:56:29
32,BFYJ,八方雲集,40HCMLGQ,BFYJ-40HCMLGQ,招牌鍋貼12顆,Signature Pot Stickers 12pcs,聯發太陽廣場,2024-12-25 14:56:29
33,BFYJ,八方雲集,74OHPNAJ,BFYJ-74OHPNAJ,紅燒牛肉麵,Braised Beef Noodle Soup,聯發太陽廣場,2024-12-10 12:14:49
34,BFYJ,八方雲集,62HGYVLP,BFYJ-62HGYVLP,韭菜鍋貼12顆,Chive Pot Stickers 12pcs,聯發太陽廣場,2024-12-25 14:56:29
35,BFYJ,八方雲集,36EGRQQD,BFYJ-36EGRQQD,韓式辣味水餃12顆,Korean Spicy Dumplings 12pcs,聯發太陽廣場,2024-12-25 14:56:29
36,BFYJ,八方雲集,11NKBPPP,BFYJ-11NKBPPP,新蔬食鍋貼十顆,New Vegetarian Pot Stickers 10pcs,聯發太陽廣場,2024-12-25 14:56:29
37,BFYJ,八方雲集,80ICHOLB,BFYJ-80ICHOLB,青花菜,Broccoli,聯發太陽廣場,2024-12-25 14:56:29
38,BFYJ,八方雲集,22OOAZKH,BFYJ-22OOAZKH,旗魚花枝丸湯,Swordfish and Cuttlefish Ball Soup,聯發太陽廣場,2024-12-25 14:56:29
39,BFYJ,八方雲集,94WXCYFK,BFYJ-94WXCYFK,酸辣湯,Hot and Sour Soup,聯發太陽廣場,2024-12-25 14:56:29
40,BFYJ,八方雲集,96XTRHHV,BFYJ-96XTRHHV,玉米濃湯,Corn Soup,聯發太陽廣場,2024-12-25 14:56:29
41,BFYJ,八方雲集,28YUQECJ,BFYJ-28YUQECJ,白豆漿,Plain Soy Milk,聯發太陽廣場,2024-12-25 14:56:29
42,BFYJ,八方雲集,74QEAXMN,BFYJ-74QEAXMN,黑豆漿,Black Soy Milk,聯發太陽廣場,2024-12-25 14:56:29
43,BFYJ,八方雲集,25LCSUQW,BFYJ-25LCSUQW,韭菜水餃12顆,Chive Dumplings 12pcs,聯發太陽廣場,2024-12-25 14:56:29
44,BFYJ,八方雲集,21UWRZVQ,BFYJ-21UWRZVQ,韓式辣味鍋貼12顆,Korean Spicy Pot Stickers 12pcs,聯發太陽廣場,2024-12-25 14:56:29
45,BFYJ,八方雲集,50FGQMZU,BFYJ-50FGQMZU,鮮蝦水餃十顆,Fresh Shrimp Dumplings (10 pieces),聯發太陽廣場,2024-12-10 12:14:49
46,NLXJ,能量小姐,69YFXASZ,NLXJ-69YFXASZ,日式蔥鹽雞-無飯,Japanese Green Onion Salt Chicken (No Rice),聯發太陽廣場,2024-12-10 12:14:49
