序號,餐廳編號,餐廳名稱,餐點編號,菜牌編號,餐點名稱,英文名稱,據點,建檔日期
1,NLXJ,能量小姐,81NQEQMF,NLXJ-81NQEQMF,香滷雞腿-無飯,Braised Chicken Leg (No Rice),聯發科行善,2024-12-10 12:14:49
2,NLXJ,能量小姐,74OSKEZZ,NLXJ-74OSKEZZ,麻香口水雞,Sichuan Spicy Chicken (Mouth-Watering Chicken),聯發科行善,2024-12-10 12:14:49
3,NLXJ,能量小姐,67YEQYDF,NLXJ-67YEQYDF,日式壽喜牛,Japanese Sukiyaki Beef,聯發科行善,2024-12-10 12:14:49
4,NLXJ,能量小姐,74SCJALB,NLXJ-74SCJALB,泡菜豬里肌,Kimchi Pork Tenderloin,聯發科行善,2024-12-10 12:14:49
5,NLXJ,能量小姐,33GZCMRP,NLXJ-33GZCMRP,鹽烤鯖魚,Salt-Grilled Mackerel,聯發科行善,2024-12-10 12:14:49
6,NLXJ,能量小姐,42UQMJEW,NLXJ-42UQMJEW,蔬食餐盒,Vegetarian Meal Box,聯發科行善,2024-12-10 12:14:49
7,SUBWA,SUBWAY,54SOXCFQ,SUBWA-54SOXCFQ,香烤雞肉6吋,Grilled Chicken (6-inch),聯發科行善,2024-12-10 12:14:49
8,SUBWA,SUBWAY,41BCXQBR,SUBWA-41BCXQBR,燒烤牛肉6吋,BBQ Beef (6-inch),聯發科行善,2024-12-10 12:14:49
9,SUBWA,SUBWAY,71XPZQPO,SUBWA-71XPZQPO,火腿6吋,Ham (6-inch),聯發科行善,2024-12-10 12:14:49
10,SUBWA,SUBWAY,29RQJHJA,SUBWA-29RQJHJA,素食蔬菜6吋,Veggie Delite (6-inch),聯發科行善,2024-12-10 12:14:49
11,SUBWA,SUBWAY,39QZFVUF,SUBWA-39QZFVUF,義大利經典6吋,Italian B.M.T. (6-inch),聯發科行善,2024-12-10 12:14:49
12,SUBWA,SUBWAY,43QDMSAQ,SUBWA-43QDMSAQ,墨西哥辣牛6吋,Mexican Spicy Beef (6-inch),聯發科行善,2024-12-10 12:14:49
13,WT,悟饕,45CDEBUB,WT-45CDEBUB,經典池上飯包,Classic Chishang Rice Box,聯發科行善,2024-12-10 12:14:49
14,WT,悟饕,71OGUXGE,WT-71OGUXGE,蒲燒鯛魚飯包,Grilled Sea Bream Rice Box,聯發科行善,2024-12-10 12:14:49
15,WT,悟饕,83ZCICMM,WT-83ZCICMM,鐵道排骨飯包,Railway Pork Chop Rice Box,聯發科行善,2024-12-10 12:14:49
16,WT,悟饕,10IUCGYM,WT-10IUCGYM,椒麻雞腿飯包,Pepper Chicken Leg Rice Box,聯發科行善,2024-12-10 12:14:49
17,WT,悟饕,51SIZQDU,WT-51SIZQDU,直火烤肉飯包,Direct-Grilled Pork Rice Box,聯發科行善,2024-12-10 12:14:49
18,WT,悟饕,69DAXYDI,WT-69DAXYDI,糖燻烤雞腿飯包,Sugar-Smoked Grilled Chicken Leg Rice Box,聯發科行善,2024-12-10 12:14:49
19,ZJL,豬腳蓮,98FSDHFZ,ZJL-98FSDHFZ,宮保雞丁飯,Kung Pao Chicken Rice,聯發科行善,2024-12-10 12:14:49
20,ZJL,豬腳蓮,64VGBWOQ,ZJL-64VGBWOQ,黑椒豬柳飯,Black Pepper Pork Tenderloin Rice,聯發科行善,2024-12-10 12:14:49
21,ZJL,豬腳蓮,72GRDKEL,ZJL-72GRDKEL,豬腳飯,Braised Pork Knuckle Rice,聯發科行善,2024-12-10 12:14:49
22,ZJL,豬腳蓮,42JNBHAG,ZJL-42JNBHAG,腿庫飯,Braised Pork Leg Rice,聯發科行善,2024-12-10 12:14:49
23,ZJL,豬腳蓮,45GUOJNN,ZJL-45GUOJNN,清蒸多利魚飯,Steamed Dover Sole Fish Rice,聯發科行善,2024-12-10 12:14:49
24,ZJL,豬腳蓮,54LKJYUX,ZJL-54LKJYUX,雙拼飯,Mixed Double Rice,聯發科行善,2024-12-10 12:14:49
25,GLHZ,給力盒子,96JDXQWE,GLHZ-96JDXQWE,椒鹽水煮雞胸-無飯,Salt & Pepper Poached Chicken Breast (No Rice),聯發科行善,2024-12-10 12:14:49
26,GLHZ,給力盒子,44YYZHLQ,GLHZ-44YYZHLQ,泰式打拋雞胸,Thai Basil Minced Chicken Breast,聯發科行善,2024-12-10 12:14:49
27,GLHZ,給力盒子,27ZYQMKS,GLHZ-27ZYQMKS,大厚切烤鮭魚,Thick-Cut Grilled Salmon,聯發科行善,2024-12-10 12:14:49
28,GLHZ,給力盒子,65HVROFV,GLHZ-65HVROFV,蒜泥醬豬肉片,Garlic Sauce Sliced Pork,聯發科行善,2024-12-10 12:14:49
29,GLHZ,給力盒子,17AYCUSV,GLHZ-17AYCUSV,西西里烤蔬菜,Sicilian Roasted Vegetables,聯發科行善,2024-12-10 12:14:49
30,GLHZ,給力盒子,32FEXRTH,GLHZ-32FEXRTH,十三香滷牛腱,Chinese 13-Spice Braised Beef Shank,聯發科行善,2024-12-10 12:14:49
31,QHSL,齊亨燒臘,35EDLJDS,QHSL-35EDLJDS,叉燒燒鴨飯,BBQ Pork & Roast Duck Rice,聯發科行善,2024-12-10 12:14:49
32,QHSL,齊亨燒臘,84JEFIRM,QHSL-84JEFIRM,燒肉叉燒飯,Roasted Pork & BBQ Pork Rice,聯發科行善,2024-12-10 12:14:49
33,QHSL,齊亨燒臘,71MFRYUK,QHSL-71MFRYUK,油雞燒鴨飯,Oil-Braised Chicken and Roast Duck Rice,聯發科行善,2024-12-10 12:14:49
34,QHSL,齊亨燒臘,41ZCTDYC,QHSL-41ZCTDYC,三寶飯,Three Treasures Rice,聯發科行善,2024-12-10 12:14:49
35,QHSL,齊亨燒臘,04LWGPGX,QHSL-04LWGPGX,化皮燒肉飯,Crispy Skin Roasted Pork Rice,聯發科行善,2024-12-10 12:14:49
36,QHSL,齊亨燒臘,57WYYMNW,QHSL-57WYYMNW,獅子頭飯,Lion's Head Meatball Rice,聯發科行善,2024-12-10 12:14:49
37,WHM,五花馬,71PVUAQP,WHM-71PVUAQP,招牌乾麵蛋花湯,Signature Dry Noodles with Egg Drop Soup,聯發科行善,2024-12-10 12:14:49
38,WHM,五花馬,75VYXPIL,WHM-75VYXPIL,牛肉湯餃8粒,Beef Dumpling Soup (8 pieces),聯發科行善,2024-12-10 12:14:49
39,WHM,五花馬,90BPHVEK,WHM-90BPHVEK,小米粥豬肉捲餅,Congee with Pork Roll Pancake,聯發科行善,2024-12-10 12:14:49
40,WHM,五花馬,47PLHEPD,WHM-47PLHEPD,牛肉捲餅,Beef Roll Pancake,聯發科行善,2024-12-10 12:14:49
41,WHM,五花馬,37PBZCCV,WHM-37PBZCCV,小籠湯包8粒,Xiaolongbao Soup Dumplings (8 pieces),聯發科行善,2024-12-10 12:14:49
